version,modo,resolucion,hilos,rep,frames,computo_ms,total_ms
serial,video,512,1,1,10,13755.5,13983.26
serial,video,512,1,2,10,14191.4,14418.73
serial,video,512,1,3,10,14257.7,14471.11
serial,video,1024,1,1,10,57109.4,57346.66
serial,video,1024,1,2,10,58790.3,59023.88
serial,video,1024,1,3,10,59275.5,59504.02
serial,video,2048,1,1,10,237133.6,237400.79
serial,video,2048,1,2,10,234534.6,234801.76
serial,video,2048,1,3,10,238944.7,239214.28
serial,video,4096,1,1,10,966442.5,966874.22
